HORA,COD,CIUDAD,ESTADO_ACTUAL,PRONOSTICO,TEMP,AVIONES,ST_SENAMHI,RIESGO
17:51:37,SPJC,LIMA,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:51:39,SPZO,CUSCO,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:51:41,SPQU,AREQUIPA,N/D,Overcast,17.8°C,0,EL SALTO,🟢 BAJO
17:51:44,SPQT,IQUITOS,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:51:46,SPCL,PUCALLPA,N/D,"Rain, Overcast",-1.2°C,5,SANTA CLOTILDE,🟡 MEDIO
17:51:48,SPST,TARAPOTO,N/D,Overcast,7.4°C,5,EL SALTO,🟢 BAJO
17:51:50,SPUR,PIURA,N/D,Partially cloudy,-7.9°C,3,EL SALTO,🟢 BAJO
17:51:53,SPHI,CHICLAYO,N/D,Overcast,7.4°C,5,EL SALTO,🔴 ALTO
17:51:55,SPRU,TRUJILLO,N/D,Overcast,17.8°C,0,EL SALTO,🟢 BAJO
17:51:57,SPJB,CAJAMARCA,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:51:59,SPDB,PTO MALDONADO,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:52:01,SPJI,JULIACA,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:52:04,SPAY,AYACUCHO,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:52:06,SPTZ,TUMBES,N/D,Clear,0°C,0,CAMPO DE MARTE,🟢 BAJO
17:52:08,SPTN,TACNA,N/D,"Rain, Overcast",8.1°C,3,SANTA ROSA,🔴 ALTO
