ESTACION,LATITUD,LONGITUD,FUENTE
MONTEGRANDE,-7.22499,-79.15323,HTML_EMBEDDED
YONAN GORE,-7.25592,-79.09908,HTML_EMBEDDED
QUEROCOTILLO,-6.27366,-79.03696,HTML_EMBEDDED
PUENTE  MAYGASBAMBA,-6.67411,-78.52437,HTML_EMBEDDED
QUEBRADA SHUGAR,-6.68778,-78.45694,HTML_EMBEDDED
CHUGUR,-6.66878,-78.738,HTML_EMBEDDED
CACAO,-5.8837,-78.9625,HTML_EMBEDDED
EL LIMON,-5.91778,-79.31722,HTML_EMBEDDED
HACIENDA PUCARA,-6.04167,-79.13389,HTML_EMBEDDED
SAN MIGUEL,-5.24006,-78.91138,HTML_EMBEDDED
COCHALAN,-5.4654,-78.9888,HTML_EMBEDDED
COCHALAN,-5.4651,-78.9885,HTML_EMBEDDED
TABACONAS,-5.32221,-79.28779,HTML_EMBEDDED
LIVES,-7.0802,-79.04045,HTML_EMBEDDED
CIRATO,-6.65579,-79.07395,HTML_EMBEDDED
CHANCAY BAÑOS,-6.575,-78.86722,HTML_EMBEDDED
SALCCA,-14.16997,-71.23187,HTML_EMBEDDED
CHACLLABAMBA,-13.10855,-71.72,HTML_EMBEDDED
CHONTACHACA,-13.02389,-71.46778,HTML_EMBEDDED
HUANCALPI,-12.58029,-75.24179,HTML_EMBEDDED
HUACHOS,-13.2206,-75.53348,HTML_EMBEDDED
SAN JUAN DE CASTROVIRREYNA,-13.21198,-75.62758,HTML_EMBEDDED
CHOCLOCOCHA,-13.1588,-75.07145,HTML_EMBEDDED
PAUCARBAMBA,-12.55573,-74.53592,HTML_EMBEDDED
CORDOVA,-14.04061,-75.18698,HTML_EMBEDDED
TUNEL CERO,-13.25932,-75.08596,HTML_EMBEDDED
CUSICANCHA,-13.50399,-75.29625,HTML_EMBEDDED
CHALLACA PLU,-13.7896,-75.40029,HTML_EMBEDDED
CHALLACA,-13.79047,-75.38212,HTML_EMBEDDED
SANTIAGO DE CHOCORVOS,-13.83308,-75.25083,HTML_EMBEDDED
TAMBO,-13.69163,-75.27418,HTML_EMBEDDED
CHINCHAVITO,-9.515,-75.9425,HTML_EMBEDDED
TARUCA,-9.85038,-76.15236,HTML_EMBEDDED
HUERTAS,-10.1265,-76.20511,HTML_EMBEDDED
JACAS GRANDE,-9.5433,-76.76042,HTML_EMBEDDED
PUENTE BELLA,-9.32411,-76.02935,HTML_EMBEDDED
PUENTE PEREZ,-9.34694,-75.9825,HTML_EMBEDDED
HUAMANI EL TAMBO,-13.84358,-75.58928,HTML_EMBEDDED
LOS MOLINOS,-13.9248,-75.6786,HTML_EMBEDDED
CONTA,-13.43942,-75.97514,HTML_EMBEDDED
HUALLPOCA,-14.632,-74.9559,HTML_EMBEDDED
MADRIGAL,-15.60999,-71.80654,HTML_EMBEDDED
SUMBAY,-15.8412,-71.1146,HTML_EMBEDDED
PILLONES,-15.98124,-71.2167,HTML_EMBEDDED
PUENTE COLGANTE-SIBAYO,-15.4942,-71.4637,HTML_EMBEDDED
PORPERA,-15.3142,-71.3064,HTML_EMBEDDED
TISCO,-15.34577,-71.44702,HTML_EMBEDDED
CHICHAS,-15.54811,-72.91831,HTML_EMBEDDED
SALAMANCA,-15.5033,-72.8318,HTML_EMBEDDED
YANAQUIHUA,-15.77649,-72.87584,HTML_EMBEDDED
LA HACIENDITA,-16.9986,-71.6008,HTML_EMBEDDED
CUYAU,-15.2182,-72.9359,HTML_EMBEDDED
PULLHUAY (AYAHUASI),-15.1459,-72.7439,HTML_EMBEDDED
PUYCA,-15.06055,-72.69262,HTML_EMBEDDED
HUANCASANCOS,-13.91694,-74.33361,HTML_EMBEDDED
HUANTA,-12.9113,-74.2832,HTML_EMBEDDED
HUASAPAMPA,-14.26667,-73.95,HTML_EMBEDDED
LLAUTA,-14.2466,-74.9255,HTML_EMBEDDED
LUCANAS,-14.6204,-74.2328,HTML_EMBEDDED
LAMPA,-15.18468,-73.34786,HTML_EMBEDDED
CHILCAYOC,-13.883,-73.7268,HTML_EMBEDDED
AYLAMBO,-7.19345,-78.51012,HTML_EMBEDDED
