icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source
4b1815,SWR24C  ,Switzerland,1766957375,1766957376,-0.3413,51.3313,2133.6,False,142.01,268.96,0,2286,3020,False,0
ac1c12,N88G    ,United States,1766957376,1766957376,-74.2778,42.0135,4549.14,False,149.51,111.18,0.65,4549.14,7417,False,0
80162d,AXB815  ,India,1766957375,1766957376,55.9697,23.4877,7818.12,False,175.32,297.24,-11.7,8138.16,,False,0
c822af,GBA623  ,New Zealand,1766957376,1766957376,174.572,-36.233,2857.5,False,71,346.17,-0.33,2811.78,,False,0
ac96b8,AAL1258 ,United States,1766957376,1766957376,-87.0516,19.5593,11277.6,False,247.56,33.13,0,11826.24,,False,0
a46e70,LXJ385  ,United States,1766957376,1766957376,-81.862,34.4984,12557.76,False,186.59,354.46,7.8,12931.14,7670,False,0
a5cb05,N4721B  ,United States,1766957360,1766957369,-81.6658,27.7547,883.92,False,28.3,91.04,-7.48,937.26,,False,0
a57b26,N452SM  ,United States,1766957333,1766957340,82.8065,33.1983,,True,0.06,180,,,,False,0
408120,VIR47GH ,United Kingdom,1766957376,1766957376,-64.8785,50.8151,11582.4,False,241.48,233.23,-0.33,11239.5,,False,0
a7b08d,LXJ595  ,United States,1766957376,1766957376,-110.9633,37.5175,13716,False,202.95,244.47,0,13830.3,3550,False,0
a2e5ec,SKW3736 ,United States,1766957376,1766957376,-122.0579,40.8341,9144,False,195.24,10.63,0,9296.4,,False,0
7c6b2f,JST506  ,Australia,1766957163,1766957169,144.8469,-37.6752,,True,2.06,168.75,,,,False,0
39de4a,TVF73TJ ,France,1766957259,1766957261,2.3055,48.7159,4503.42,False,60.98,62.35,-3.25,4648.2,1000,False,0
7c6b2b,JST664  ,Australia,1766957376,1766957376,142.2534,-35.5641,9753.6,False,238.26,311.85,0,10210.8,4015,False,0
7c6b41,JST811  ,Australia,1766957375,1766957376,151.1782,-33.9464,,True,2.83,348.75,,,1033,False,0
