time,tavg,tmin,tmax,prcp,wspd,pres,viento_fuerte,lluvia_intensa,presion_baja,condicion_climatica
2024-01-01,23.4,22.0,25.2,1.0,19.1,1014.0,0,0,0,Normal
2024-01-02,23.8,22.0,26.0,0.0,20.9,1013.4,1,0,0,Condición moderada
2024-01-03,23.5,22.0,25.3,0.0,21.5,1013.5,1,0,0,Condición moderada
2024-01-04,23.6,21.8,26.0,0.0,16.4,1014.1,0,0,0,Normal
2024-01-05,23.9,22.0,26.0,0.0,24.7,1013.2,1,0,0,Condición moderada
2024-01-06,23.5,22.0,25.5,1.6,22.0,1011.8,1,0,0,Condición moderada
2024-01-07,24.0,22.7,26.0,0.2,24.2,1010.5,1,0,1,Condición severa
2024-01-08,24.2,22.0,27.0,0.5,26.1,1011.2,1,0,0,Condición moderada
2024-01-09,24.0,22.0,26.3,0.1,21.7,1011.7,1,0,0,Condición moderada
2024-01-10,24.4,22.8,27.1,0.0,23.5,1012.5,1,0,0,Condición moderada
2024-01-11,24.0,22.0,26.3,1.0,22.4,1013.1,1,0,0,Condición moderada
2024-01-12,23.8,22.5,26.0,0.3,18.8,1013.0,0,0,0,Normal
2024-01-13,23.9,22.0,26.0,0.8,22.1,1012.4,1,0,0,Condición moderada
2024-01-14,23.4,22.0,26.0,0.0,22.8,1012.2,1,0,0,Condición moderada
2024-01-15,24.2,22.6,27.0,0.3,24.1,1011.2,1,0,0,Condición moderada
2024-01-16,23.6,22.0,26.0,0.0,22.8,1010.5,1,0,1,Condición severa
2024-01-17,23.7,22.0,26.0,0.0,23.1,1010.8,1,0,1,Condición severa
2024-01-18,23.4,22.0,26.0,0.0,19.5,1011.6,0,0,0,Normal
2024-01-19,23.2,21.0,26.6,2.4,16.0,1010.9,0,0,1,Condición moderada
2024-01-20,23.4,22.0,26.9,0.9,20.8,1011.0,1,0,1,Condición severa
2024-01-21,23.9,22.0,27.0,0.0,22.0,1011.2,1,0,0,Condición moderada
2024-01-22,24.5,22.0,27.0,5.8,20.3,1011.6,0,1,0,Condición moderada
2024-01-23,24.6,22.0,27.0,2.1,19.7,1010.3,0,0,1,Condición moderada
2024-01-24,25.3,23.0,28.2,0.0,12.5,1010.7,0,0,1,Condición moderada
2024-01-25,26.2,24.0,29.0,0.0,14.4,1011.2,0,0,0,Normal
2024-01-26,26.2,24.0,29.0,0.0,21.8,1011.8,1,0,0,Condición moderada
2024-01-27,25.9,23.8,29.0,0.0,17.1,1012.0,0,0,0,Normal
2024-01-28,26.3,23.7,29.0,0.0,17.2,1012.0,0,0,0,Normal
2024-01-29,25.8,24.0,28.3,0.0,17.3,1011.9,0,0,0,Normal
2024-01-30,25.5,24.0,28.0,0.0,16.6,1011.4,0,0,0,Normal
2024-01-31,26.2,24.0,29.1,0.0,21.3,1012.3,1,0,0,Condición moderada
2024-02-01,25.5,23.7,28.0,0.1,19.3,1011.4,0,0,0,Normal
2024-02-02,25.2,23.8,28.5,0.2,19.1,1013.0,0,0,0,Normal
2024-02-03,25.6,23.8,28.0,0.9,21.3,1011.6,1,0,0,Condición moderada
2024-02-04,25.7,23.7,29.5,0.4,14.7,1009.7,0,0,1,Condición moderada
2024-02-05,26.6,24.0,30.0,0.7,17.0,1011.3,0,0,0,Normal
